Policy_Sequence,,Q,Tp,Tnp,p,W1,W2,arrival_rate,gamma,Policy_Type,Switch_Index,Full Policy,,,,Tnp,p,Lambda,T,W1,Gamma,,,,,,Tp,Tnp,p,W1,W2,arrival_rate,gamma,,,Tnp,p,Lambda,T,W1,Gamma
"[0, 0, 0, 0, 0, 2]",30.10.4110.7,5,1,3,0.1,1,1,0.475,0.772222222,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.4110.8,5,1,3,0.1,1,1,0.475,0.881111111,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.4110.9,5,1,3,0.1,1,1,0.475,0.99,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.6110,5,1,3,0.1,1,1,0.6,0.01,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.6110.1,5,1,3,0.1,1,1,0.6,0.118888889,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.6110.2,5,1,3,0.1,1,1,0.6,0.227777778,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.6110.3,5,1,3,0.1,1,1,0.6,0.336666667,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.6110.4,5,1,3,0.1,1,1,0.6,0.445555556,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.6110.5,5,1,3,0.1,1,1,0.6,0.554444444,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.6110.6,5,1,3,0.1,1,1,0.6,0.663333333,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.6110.7,5,1,3,0.1,1,1,0.6,0.772222222,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.6110.8,5,1,3,0.1,1,1,0.6,0.881111111,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.6110.9,5,1,3,0.1,1,1,0.6,0.99,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 2, 2, 2, 2, 2]",30.10.111120,5,1,3,0.1,112,1,0.1,0.01,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 2, 2, 2, 2, 2]",30.10.111120.1,5,1,3,0.1,112,1,0.1,0.118888889,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 2, 2, 2, 2, 2]",30.10.111120.2,5,1,3,0.1,112,1,0.1,0.227777778,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 2, 2, 2, 2, 2]",30.10.111120.3,5,1,3,0.1,112,1,0.1,0.336666667,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 2, 2, 2, 2, 2]",30.10.111120.4,5,1,3,0.1,112,1,0.1,0.445555556,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 2, 2, 2, 2, 2]",30.10.111120.5,5,1,3,0.1,112,1,0.1,0.554444444,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 2, 2, 2, 2, 2]",30.10.111120.6,5,1,3,0.1,112,1,0.1,0.663333333,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 2, 2, 2, 2, 2]",30.10.111120.7,5,1,3,0.1,112,1,0.1,0.772222222,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 2, 2, 2, 2, 2]",30.10.111120.8,5,1,3,0.1,112,1,0.1,0.881111111,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 2, 2, 2, 2, 2]",30.10.111120.9,5,1,3,0.1,112,1,0.1,0.99,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.211120,5,1,3,0.1,112,1,0.225,0.01,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.211120.1,5,1,3,0.1,112,1,0.225,0.118888889,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.211120.2,5,1,3,0.1,112,1,0.225,0.227777778,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.211120.3,5,1,3,0.1,112,1,0.225,0.336666667,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.211120.4,5,1,3,0.1,112,1,0.225,0.445555556,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.211120.5,5,1,3,0.1,112,1,0.225,0.554444444,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.211120.6,5,1,3,0.1,112,1,0.225,0.663333333,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.211120.7,5,1,3,0.1,112,1,0.225,0.772222222,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.211120.8,5,1,3,0.1,112,1,0.225,0.881111111,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.211120.9,5,1,3,0.1,112,1,0.225,0.99,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.311120,5,1,3,0.1,112,1,0.35,0.01,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.311120.1,5,1,3,0.1,112,1,0.35,0.118888889,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.311120.2,5,1,3,0.1,112,1,0.35,0.227777778,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.311120.3,5,1,3,0.1,112,1,0.35,0.336666667,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.311120.4,5,1,3,0.1,112,1,0.35,0.445555556,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.311120.5,5,1,3,0.1,112,1,0.35,0.554444444,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.311120.6,5,1,3,0.1,112,1,0.35,0.663333333,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.311120.7,5,1,3,0.1,112,1,0.35,0.772222222,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.311120.8,5,1,3,0.1,112,1,0.35,0.881111111,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.311120.9,5,1,3,0.1,112,1,0.35,0.99,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.411120,5,1,3,0.1,112,1,0.475,0.01,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.411120.1,5,1,3,0.1,112,1,0.475,0.118888889,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.411120.2,5,1,3,0.1,112,1,0.475,0.227777778,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.411120.3,5,1,3,0.1,112,1,0.475,0.336666667,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.411120.4,5,1,3,0.1,112,1,0.475,0.445555556,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.411120.5,5,1,3,0.1,112,1,0.475,0.554444444,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.411120.6,5,1,3,0.1,112,1,0.475,0.663333333,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.411120.7,5,1,3,0.1,112,1,0.475,0.772222222,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.411120.8,5,1,3,0.1,112,1,0.475,0.881111111,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.411120.9,5,1,3,0.1,112,1,0.475,0.99,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.611120,5,1,3,0.1,112,1,0.6,0.01,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.611120.1,5,1,3,0.1,112,1,0.6,0.118888889,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.611120.2,5,1,3,0.1,112,1,0.6,0.227777778,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.611120.3,5,1,3,0.1,112,1,0.6,0.336666667,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.611120.4,5,1,3,0.1,112,1,0.6,0.445555556,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.611120.5,5,1,3,0.1,112,1,0.6,0.554444444,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
